,customer_id,rcpt_domain_legacy_isp,rcpt_domain_other,total_injection_count,total_injection_count_tracked,complaint_count,trap_count,open_count,admin_csl_bounce,admin_gsl_bounce,admin_other_bounce,block_bounce,dns_failure_bounce,generic_bounce,hard_bounce,mailbox_full_bounce,other_bounce,smart_send_suppression_bounce,soft_bounce,timeout_bounce,too_large_bounce,transient_failure_bounce,undetermined_bounce,rcpt_domain_legacy_isp_percent,rcpt_domain_other_percent,total_injection_count_tracked_percent,complaint_count_percent,trap_count_percent,open_count_percent,admin_csl_bounce_percent,admin_gsl_bounce_percent,admin_other_bounce_percent,block_bounce_percent,dns_failure_bounce_percent,generic_bounce_percent,hard_bounce_percent,mailbox_full_bounce_percent,other_bounce_percent,smart_send_suppression_bounce_percent,soft_bounce_percent,timeout_bounce_percent,too_large_bounce_percent,transient_failure_bounce_percent,undetermined_bounce_percent,terminated
176,176,20,8060,8080,0,1,5,,,34,1,481,13,8,1039,6,,,,,,1,151,0.002475248,0.997524752,0,0.000123762,0.000618812,0,0,0.004207921,0.000123762,0.059529703,0.001608911,0.000990099,0.128589109,0.000742574,0,0,0,0,0,0.000123762,0.018688119,FALSE
177,177,,2100,2100,0,,,,,,,,,,,,,,,700,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,TRUE
178,178,,4226,4226,0,1,1,325,,,,83,7,1,366,2,,,,74,,,42,0,1,0,0.00023663,0.00023663,0.076904875,0,0,0,0.019640322,0.001656413,0.00023663,0.08660672,0.000473261,0,0,0,0.017510648,0,0,0.009938476,FALSE
179,179,195,3719,3914,0,9,4,432,,,,449,,,33,1,,,,,,,9,0.049821155,0.950178845,0,0.002299438,0.001021972,0.11037302,0,0,0,0.114716403,0,0,0.008431272,0.000255493,0,0,0,0,0,0,0.002299438,TRUE
180,180,28022,9799,37821,0,,1,,,,,72,,1,98,,8,,,,,,10,0.740911134,0.259088866,0,0,2.64E-05,0,0,0,0,0.001903704,0,2.64E-05,0.002591153,0,0.000211523,0,0,0,0,0,0.000264403,TRUE
181,181,189,3765,3954,0,,6,,,,6,84,5,,230,2,,,,,,,87,0.047799697,0.952200303,0,0,0.001517451,0,0,0,0.001517451,0.02124431,0.001264542,0,0.058168943,0.000505817,0,0,0,0,0,0,0.022003035,TRUE
182,182,,1003,1003,0,,,,,,,,,,5,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0.004985045,0,0,0,0,0,0,0,0,FALSE
183,183,15,1120,1135,0,1,2,57,,,,1,,,11,,,,,1,,,6,0.013215859,0.986784141,0,0.000881057,0.001762115,0.050220264,0,0,0,0.000881057,0,0,0.00969163,0,0,0,0,0.000881057,0,0,0.005286344,FALSE
184,184,44137,104709,148846,0,27,290,,,,9,3096,53,75,1579,136,2,,,872,,6,787,0.296527955,0.703472045,0,0.000181396,0.001948322,0,0,0,6.05E-05,0.020800021,0.000356073,0.000503876,0.01060828,0.000913696,1.34E-05,0,0,0.005858404,0,4.03E-05,0.005287344,TRUE
185,185,,1437,1437,0,,5,,,,,526,,,14,,,,,7,,,,0,1,0,0,0.003479471,0,0,0,0,0.366040362,0,0,0.009742519,0,0,0,0,0.00487126,0,0,0,FALSE
186,186,63,2054,2117,0,,114,,4,,,1,,,,,,,,,,,,0.029759093,0.970240907,0,0,0.053849787,0,0.001889466,0,0,0.000472367,0,0,0,0,0,0,0,0,0,0,0,FALSE
187,187,37,5437,5474,0,,23,,,3,4,228,25,6,263,,,,,80,,,12,0.006759225,0.993240775,0,0,0.004201681,0,0,0.000548045,0.000730727,0.041651443,0.004567044,0.001096091,0.048045305,0,0,0,0,0.014614541,0,0,0.002192181,TRUE
188,188,56,7985,8041,8011,7,5,9885,186,1,,22,4,,40,,1,,11,,,1,12,0.006964308,0.993035692,0.996269121,0.000870538,0.000621813,1.229324711,0.023131451,0.000124363,0,0.002735978,0.000497451,0,0.004974506,0,0.000124363,0,0.001367989,0,0,0.000124363,0.001492352,FALSE
189,189,,8885,8885,0,,,,,5,,123,,,4664,,,,,,,,,0,1,0,0,0,0,0,0.000562746,0,0.013843557,0,0,0.524929657,0,0,0,0,0,0,0,0,TRUE
190,190,19983,202,20185,0,15,,6212,,,,,,,25,,,,,,,,80,0.989992569,0.010007431,0,0.000743126,0,0.307753282,0,0,0,0,0,0,0.001238543,0,0,0,0,0,0,0,0.003963339,TRUE
191,191,1065,54,1119,0,,,27,,,,260,,,,,,,,,,,,0.951742627,0.048257373,0,0,0,0.024128686,0,0,0,0.232350313,0,0,0,0,0,0,0,0,0,0,0,FALSE
192,192,,10130,10130,0,,29,,,4,,1,1,,2359,,,,,,,,,0,1,0,0,0.002862784,0,0,0.000394867,0,9.87E-05,9.87E-05,0,0.232872655,0,0,0,0,0,0,0,0,TRUE
193,193,690,8712,9402,0,1,18,,224,29,,237,5,4,432,4,,,,,,3,145,0.073388641,0.926611359,0,0.00010636,0.001914486,0,0.023824718,0.00308445,0,0.025207403,0.000531802,0.000425441,0.045947671,0.000425441,0,0,0,0,0,0.000319081,0.015422251,TRUE
194,194,18,31835,31853,0,,,,,,,,,,23,12,,,,,,,,0.000565096,0.999434904,0,0,0,0,0,0,0,0,0,0,0.000722067,0.000376731,0,0,0,0,0,0,0,TRUE
195,195,,116911,116911,116902,1,21,34698,1127,223,,199,22,,22,75,,,,492,,28,9,0,1,0.999923018,8.55E-06,0.000179624,0.296789866,0.009639811,0.001907434,0,0.001702149,0.000188177,0,0.000188177,0.000641514,0,0,0,0.004208329,0,0.000239498,7.70E-05,FALSE
196,196,1257,4172,5429,0,,14,,,89,,996,12,3,1674,4,,,,,,,22,0.231534353,0.768465647,0,0,0.002578744,0,0,0.016393443,0,0.183459201,0.002210352,0.000552588,0.308344078,0.000736784,0,0,0,0,0,0,0.004052312,TRUE
197,197,,15169,15169,0,,,,,,,,,,5,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0.00032962,0,0,0,0,0,0,0,0,TRUE
198,198,4881,50249,55130,0,3,34,,1255,371,,2910,7,4,2087,17,1,,,15,,2,33,0.088536187,0.911463813,0,5.44E-05,0.000616724,0,0.022764375,0.006729548,0,0.052784328,0.000126973,7.26E-05,0.037855977,0.000308362,1.81E-05,0,0,0.000272084,0,3.63E-05,0.000598585,TRUE
199,199,,5851,5851,5851,,,1267,1,,,,,,28,26,,,,,,1,7,0,1,1,0,0,0.21654418,0.000170911,0,0,0,0,0,0.004785507,0.004443685,0,0,0,0,0,0.000170911,0.001196377,TRUE
200,200,,1266,1266,1266,,,156,,,,,,,,3,,,,,,,1,0,1,1,0,0,0.123222749,0,0,0,0,0,0,0,0.002369668,0,0,0,0,0,0,0.000789889,TRUE
